"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.94","43.17","HAMILTON A","6153193","2021-01-01","2021","01","01","","0.1","","-6.6","","-3.3","","21.3","","0.0","","7.2","","2.0","","9.2","","0","T","7","","41",""
"-79.94","43.17","HAMILTON A","6153193","2021-01-02","2021","01","02","","0.6","","-1.6","","-0.5","","18.5","","0.0","","7.0","","2.0","","9.2","","2","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2021-01-03","2021","01","03","","0.6","","-1.3","","-0.4","","18.4","","0.0","","0.0","","3.8","","3.8","","2","","","","","M"
"-79.94","43.17","HAMILTON A","6153193","2021-01-04","2021","01","04","","1.1","","-0.6","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","3","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2021-01-05","2021","01","05","","","M","","M","","M","","M","","M","1.0","","0.0","T","1.0","","2","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2021-01-06","2021","01","06","","2.1","","-1.7","","0.2","","17.8","","0.0","","0.0","","0.0","T","0.0","T","1","","35","","33",""
"-79.94","43.17","HAMILTON A","6153193","2021-01-07","2021","01","07","","-0.4","","-6.9","","-3.7","","21.7","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","","M"
"-79.94","43.17","HAMILTON A","6153193","2021-01-08","2021","01","08","","-3.4","","-9.2","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","0","T","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2021-01-09","2021","01","09","","4.4","","-8.3","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","0","T","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2021-01-10","2021","01","10","","1.3","","-8.3","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","0","T","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2021-01-11","2021","01","11","","-0.4","","-6.9","","-3.7","","21.7","","0.0","","0.0","","0.0","T","0.0","T","0","T","24","","45",""
"-79.94","43.17","HAMILTON A","6153193","2021-01-12","2021","01","12","","-1.5","","-3.1","","-2.3","","20.3","","0.0","","0.8","","0.0","T","0.8","","0","T","25","","37",""
"-79.94","43.17","HAMILTON A","6153193","2021-01-13","2021","01","13","","2.2","","-1.7","","0.3","","17.7","","0.0","","0.0","","0.0","T","0.0","T","0","T","22","","48",""
"-79.94","43.17","HAMILTON A","6153193","2021-01-14","2021","01","14","","3.8","","-1.1","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","0","T","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2021-01-15","2021","01","15","","3.6","","-0.5","","1.6","","16.4","","0.0","","4.4","","0.0","","4.4","","0","T","14","","33",""
"-79.94","43.17","HAMILTON A","6153193","2021-01-16","2021","01","16","","2.0","","-1.6","","0.2","","17.8","","0.0","","0.0","","0.0","","0.0","","0","T","26","","46",""
"-79.94","43.17","HAMILTON A","6153193","2021-01-17","2021","01","17","","2.0","","-1.1","","0.5","","17.5","","0.0","","0.0","","0.0","T","0.0","T","0","T","25","","41",""
"-79.94","43.17","HAMILTON A","6153193","2021-01-18","2021","01","18","","0.6","","-3.2","","-1.3","","19.3","","0.0","","0.0","","1.4","","1.4","","0","T","","","","M"
"-79.94","43.17","HAMILTON A","6153193","2021-01-19","2021","01","19","","-0.8","","-4.2","","-2.5","","20.5","","0.0","","0.0","","1.0","","1.0","","1","","27","","48",""
"-79.94","43.17","HAMILTON A","6153193","2021-01-20","2021","01","20","","-2.9","","-7.6","","-5.3","","23.3","","0.0","","0.0","","0.2","","0.2","","1","","21","","48",""
"-79.94","43.17","HAMILTON A","6153193","2021-01-21","2021","01","21","","2.4","","-2.7","","-0.2","","18.2","","0.0","","0.0","","0.0","T","0.0","T","0","T","20","","54",""
"-79.94","43.17","HAMILTON A","6153193","2021-01-22","2021","01","22","","0.9","","-8.1","","-3.6","","21.6","","0.0","","0.0","","0.0","T","0.0","T","0","T","28","","55",""
"-79.94","43.17","HAMILTON A","6153193","2021-01-23","2021","01","23","","-3.4","","-9.5","","-6.5","","24.5","","0.0","","0.0","","0.0","T","0.0","T","0","T","30","","46",""
"-79.94","43.17","HAMILTON A","6153193","2021-01-24","2021","01","24","","-2.5","","-7.4","","-5.0","","23.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2021-01-25","2021","01","25","","1.1","","-6.7","","-2.8","","20.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","7","","32",""
"-79.94","43.17","HAMILTON A","6153193","2021-01-26","2021","01","26","","-0.4","","-6.3","","-3.4","","21.4","","0.0","","","M","7.4","","7.0","","0","T","7","","59",""
"-79.94","43.17","HAMILTON A","6153193","2021-01-27","2021","01","27","","-2.6","","-11.7","","-7.2","","25.2","","0.0","","0.0","","0.0","T","0.0","T","6","","28","","32",""
"-79.94","43.17","HAMILTON A","6153193","2021-01-28","2021","01","28","","-6.7","","-14.9","","-10.8","","28.8","","0.0","","0.0","","0.2","","0.0","T","4","","31","","46",""
"-79.94","43.17","HAMILTON A","6153193","2021-01-29","2021","01","29","","-5.8","","-14.3","","-10.1","","28.1","","0.0","","0.0","","0.0","T","0.0","T","3","","31","","54",""
"-79.94","43.17","HAMILTON A","6153193","2021-01-30","2021","01","30","","-2.1","","-10.6","","-6.4","","24.4","","0.0","","0.0","","0.0","","0.0","","3","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2021-01-31","2021","01","31","","-3.0","","-6.8","","-4.9","","22.9","","0.0","","0.0","","0.0","T","0.0","T","2","E","6","","67",""
"-79.94","43.17","HAMILTON A","6153193","2021-02-01","2021","02","01","","-4.5","","-9.4","","-7.0","","25.0","","0.0","","0.0","","0.6","","0.6","","2","","5","","59",""
"-79.94","43.17","HAMILTON A","6153193","2021-02-02","2021","02","02","","1.8","","-9.9","","-4.1","","22.1","","0.0","","0.0","","0.0","T","0.0","T","2","","34","","46",""
"-79.94","43.17","HAMILTON A","6153193","2021-02-03","2021","02","03","","1.5","","-7.0","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","1","","30","","41",""
"-79.94","43.17","HAMILTON A","6153193","2021-02-04","2021","02","04","","0.6","","-11.0","","-5.2","","23.2","","0.0","","0.0","","6.2","","7.0","","1","","16","","39",""
"-79.94","43.17","HAMILTON A","6153193","2021-02-05","2021","02","05","","1.8","","-8.8","","-3.5","","21.5","","0.0","","0.0","","2.6","","3.0","","6","","24","","78",""
"-79.94","43.17","HAMILTON A","6153193","2021-02-06","2021","02","06","","-6.8","","-10.9","","-8.9","","26.9","","0.0","","0.0","","0.0","T","0.0","T","6","","23","","67",""
"-79.94","43.17","HAMILTON A","6153193","2021-02-07","2021","02","07","","-7.9","","-18.1","","-13.0","","31.0","","0.0","","0.0","","0.4","","0.4","","6","","26","","45",""
"-79.94","43.17","HAMILTON A","6153193","2021-02-08","2021","02","08","","-8.7","","-18.4","","-13.6","","31.6","","0.0","","0.0","","1.6","","0.8","","6","","","","","M"
"-79.94","43.17","HAMILTON A","6153193","2021-02-09","2021","02","09","","-4.8","","-14.2","","-9.5","","27.5","","0.0","","0.0","","3.0","","3.0","","10","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2021-02-10","2021","02","10","","-7.5","","-18.0","","-12.8","","30.8","","0.0","","0.0","","0.0","T","0.0","T","10","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2021-02-11","2021","02","11","","-3.7","","-13.4","","-8.6","","26.6","","0.0","","0.0","","0.0","","0.0","","9","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2021-02-12","2021","02","12","","-7.5","","-13.9","","-10.7","","28.7","","0.0","","0.0","","3.8","","2.0","","8","","4","","39",""
"-79.94","43.17","HAMILTON A","6153193","2021-02-13","2021","02","13","","-7.3","","-12.8","","-10.1","","28.1","","0.0","","0.0","","4.4","","3.4","","12","","7","","52",""
"-79.94","43.17","HAMILTON A","6153193","2021-02-14","2021","02","14","","-5.3","","-15.8","","-10.6","","28.6","","0.0","","0.0","","0.2","","0.2","","16","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2021-02-15","2021","02","15","","-4.0","","-11.4","","-7.7","","25.7","","0.0","","0.0","","7.4","","7.2","","16","","3","","54",""
"-79.94","43.17","HAMILTON A","6153193","2021-02-16","2021","02","16","","-6.7","","-16.8","","-11.8","","29.8","","0.0","","0.0","","10.0","","8.8","","27","","3","","81",""
"-79.94","43.17","HAMILTON A","6153193","2021-02-17","2021","02","17","","-6.1","","-18.8","","-12.5","","30.5","","0.0","","0.0","","0.0","T","0.0","T","27","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2021-02-18","2021","02","18","","-3.6","","-9.0","","-6.3","","24.3","","0.0","","0.0","","1.0","","1.2","","26","","6","","41",""
"-79.94","43.17","HAMILTON A","6153193","2021-02-19","2021","02","19","","-3.5","","-8.7","","-6.1","","24.1","","0.0","","0.0","","1.0","","0.8","","28","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2021-02-20","2021","02","20","","-3.6","","-11.5","","-7.6","","25.6","","0.0","","0.0","","1.0","","0.6","","27","","26","","32",""
"-79.94","43.17","HAMILTON A","6153193","2021-02-21","2021","02","21","","-3.3","","-16.4","","-9.9","","27.9","","0.0","","0.0","","0.0","","0.0","","27","","","M","","M"
